,date,open,high,low,close,volume,c_mar,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
391,2018-12-31,0.048864,0.048873,0.045101,0.045422,1961467.0,47699470.0,557851,155,138740542,895100.2709677421,0.81213582,64362351163.81349,79250723414.47548,5265031314087.46,6.158736260548621e-05,0.2270849197094659,7.64e-06,0.028170207542314418,16.13595059,59496.476048799836,40567549.5659183,1937.5,4.05134626141644,7143949.883931176,1937.5,7143949.883931176,68.11159662,48.67702097039919,1,3687.19994009351,-73.51431191077175,-11.11054952233258,17455617.32738074,262001,548944,256279.6674072,944954374.3110126,0.9620595706792501,3547.305991374918,0.013779,50.80592797454848,528116.82896695,1947272340.1293123,0.035836825858276564,0.04492013567097658,0.04963673214901458
392,2018-12-30,0.048983,0.05028,0.048303,0.048894,2512916.0,51345249.0,514111,176,131720342,748411.0340909091,0.8415034,66767437066.61047,79343039040.73555,5106422924659.84,5.1102154708891293e-05,0.19548656399300904,7.56e-06,0.02892008041942723,13.27720853,50790.73259697159,44676132.235286206,2200.0,4.60074899929713,8415896.41835184,2200.0,8415896.41835184,120.08939659,50.27578607584985,1,3825.4074628872,-70.45724458312115,-3.7229839594141736,17453679.82740804,259817,516115,145339.05843231,555981118.7759575,0.7293092756571309,2789.905145851648,0.01189731,45.51205846228251,376407.45680578,1439911894.3512223,0.035766804330746305,0.04526907356105697,0.049537525099873504
393,2018-12-29,0.05189,0.052563,0.048895,0.049016,3076091.0,51473428.0,572182,138,134563052,975094.579710145,0.84031284,66719421375.7622,79398312541.14612,5106422924659.83,5.79258748083089e-05,0.22145863205396843,1.13e-05,0.04320146308521329,15.3735851,58775.342405755306,35030149.139031105,1725.0,3.6078602286274704,6594913.612565745,1725.0,6594913.612565745,77.65454602,49.91159827488314,1,3823.1383261250703,-73.7633478885738,-9.811212264776014,17451479.82740804,265401,561903,224732.23684559998,859182427.80023,1.13226573758277,4328.808536710959,0.013569895,51.87958565599296,636223.51474497,2432370503.2034926,0.035780676431897834,0.04672431209565922,0.049556225053916235
394,2018-12-28,0.045191,0.052586,0.045191,0.051505,5546172.0,54087455.0,644439,167,156591105,937671.28742515,0.85252346,67723456212.58877,79438817881.65671,5106422924659.84,5.78687808757545e-05,0.22459191469889328,1.12e-05,0.04346781471046168,18.08179501,70176.4388506456,42391557.2914363,2087.5,4.36646536032128,8101702.072150783,2087.5,8101702.072150783,53.44395136,50.663654685122935,1,3881.05488486265,-72.8397224193437,-7.780023959723599,17449754.8274135,312462,672026,326505.70148197,1267186547.672106,1.27817550244233,4960.669277465577,0.013049685,50.64654371516885,858967.17020431,3333698731.8580837,0.035900073074452185,0.04671069147058552,0.049563690998068836
395,2018-12-27,0.050107,0.050726,0.044969,0.045251,2287961.0,47520138.0,624625,174,155172817,891797.798850575,0.78552581,62557922646.83628,79638277664.37807,5106422924659.84,5.7406744169110705e-05,0.20582961571537342,1.146e-05,0.041089377741916976,17.3424626,62180.71524838286,44168448.9144307,2175.0,4.55003517147065,7798376.66567796,2175.0,7798376.66567796,54.93819667,46.91860748807235,1,3585.4605359438897,-76.70114755848985,-5.060043440784768,17447667.32744629,302098,607971,317587.18680085,1138696324.9958878,1.2286779532282,4405.376312684026,0.01486579,53.30070338062932,747000.5639021,2678341042.1988106,0.035370587741619164,0.048726550017802364,0.04825368895979778
396,2018-12-26,0.049777,0.051977,0.048972,0.050022,2126919.0,52530043.0,536230,157,139353747,887603.484076433,0.83308567,66426458891.30887,79735447774.09525,5106422924659.83,5.6828260878844106e-05,0.2163825511068156,1.506e-05,0.05734332125025125,15.97681092,60834.223183272414,39853140.687158704,1962.5,4.10600335349627,7472527.752564281,1962.5,7472527.752564281,76.59282053,49.66233476535075,1,3807.65745353594,-75.78926539110859,2.9017070857117258,17445492.32747359,281142,541634,227769.28969651,867267433.5995033,1.1360437947411899,4325.665622589546,0.01385375,52.75033444692353,615319.94472085,2342927573.825667,0.03517174875656595,0.04760382402118951,0.04780915264524649
397,2018-12-25,0.055451,0.055626,0.048917,0.05025,2558309.0,52769416.0,481186,159,128842429,810329.742138365,0.82260882,65615302891.153656,79764891236.45685,5106422924659.83,6.882077463296619e-05,0.25887512547108854,1.769e-05,0.0665424211512712,17.8645655,67199.06394491065,40360824.0080142,1987.5,4.1587769630057005,7476148.221489625,1987.5,7476148.221489625,86.69351364,48.78377951674859,1,3761.5840108123903,-73.28599222030658,-4.694042653966854,17443529.82747359,259581,514043,201209.16888611,756865192.5108413,1.0116310755292999,3805.335278551957,0.01239441,46.62261447945319,520021.87295831,1956105962.5926912,0.035464377152578636,0.04901825287981186,0.04774766833670141
398,2018-12-24,0.05718,0.062675,0.054391,0.055417,5444153.0,58195719.0,583425,152,143599619,944734.335526316,0.88260111,70464629644.18283,79837458411.82278,5106422924659.83,8.457450298893209e-05,0.3416848647076712,2.508e-05,0.10132434840308599,23.52803471,95054.33756762123,38583932.3850198,1900.0,3.97613919101416,7676087.000233787,1900.0,7676087.000233787,56.6147045,52.14676345154109,1,4040.0457895967297,-71.19673548539053,6.140551859204173,17441542.32747359,278193,555157,308074.42134142,1244634768.8228528,1.29350139690282,5225.804872394727,0.01503275,60.73299834356024,718096.35500038,2901142155.544044,0.0352436010059591,0.04765313632666643,0.04704782119376003
399,2018-12-23,0.056754,0.060032,0.056526,0.057255,3756953.0,60125894.0,520086,176,129572003,736204.5625,0.86090691,68758702225.0924,79867755426.01431,5106422924659.84,6.19419216405924e-05,0.2442163701155345,1.62e-05,0.06387120533372305,15.42552063,60817.69108261175,44676132.235286206,2200.0,4.60445222969817,8673867.390999427,2200.0,8673867.390999427,90.30716621,50.688887955676925,1,3942.66699590883,-73.558416503134,-8.094044985903357,17439642.32750089,249032,521843,193114.71125456,761386998.487817,0.8366308417487439,3298.556807522196,0.01137559,44.85016325199053,436589.94835069,1721328780.107806,0.035193781941646164,0.0523395849799285,0.046866362913331065
400,2018-12-22,0.054382,0.057084,0.052811,0.056919,3838520.0,59772825.0,551516,175,141434169,808195.251428571,0.86519497,69138519234.73888,79910912494.28368,5106422924659.84,7.40468554267701e-05,0.2935917918490624,2.915e-05,0.1155781792903272,18.60323577,73760.827416991,44422290.5748584,2187.5,4.57886819066791,8673319.629419923,2187.5,8673319.629419923,95.84799273,50.86567817052272,1,3964.94611630625,-72.28418719662692,-7.869416503076633,17437442.32750089,251236,518060,181928.09083633,721335077.2085172,0.9580043646616221,3798.435685069536,0.013184999999999999,52.27781454349791,496303.7411566,1967817591.0071237,0.03522938854526198,0.052336944899327865,0.046886487790266634
