,base_form,past_form,past_participle,s_es_ies,ing_form
435,imprint,imprinted,imprinted,imprints,imprinting
436,imprison,imprisoned,imprisoned,imprisons,imprisoning
437,improve,improved,improved,improves,improving
438,inaugurate,inaugurated,inaugurated,inaugurates,inaugurating
439,incise,incised,incised,incises,incising
440,include,included,included,includes,including
441,increase,increased,increased,increases,increasing
442,inculcate,inculcated,inculcated,inculcates,inculcating
443,indent,indented,indented,indents,indenting
444,indicate,indicated,indicated,indicates,indicating
445,induce,induced,induced,induces,inducing
446,indulge,indulged,indulged,indulges,indulging
447,infect,infected,infected,infects,infecting
448,infest,infested,infested,infests,infesting
449,inflame,inflamed,inflamed,inflames,inflaming
450,inflate,inflated,inflated,inflates,inflating
451,inflect,inflected,inflected,inflects,inflecting
452,inform,informed,informed,informs,informing
453,infringe,infringed,infringed,infringes,infringing
454,infuse,infused,infused,infuses,infusing
455,ingest,ingested,ingested,ingests,ingesting
456,inhabit,inhabited,inhabited,inhabits,inhabiting
457,inhale,inhaled,inhaled,inhales,inhaling
458,inherit,inherited,inherited,inherits,inheriting
459,initiate,initiated,initiated,initiates,initiating
460,inject,injected,injected,injects,injecting
461,injure,injured,injured,injures,injuring
462,inlay,inlaid,inlaid,inlays,inlaying
463,innovate,innovated,innovated,innovates,innovating
464,input,input,input,inputs,inputting
465,inquire,inquired,inquired,inquires,inquiring
466,inscribe,inscribed,inscribed,inscribes,inscribing
467,insert,inserted,inserted,inserts,inserting
468,inspect,inspected,inspected,inspects,inspecting
469,inspire,inspired,inspired,inspires,inspiring
470,install,installed,installed,installs,installing
471,insult,insulted,insulted,insults,insulting
472,insure,insured,insured,insures,insuring
473,integrate,integrated,integrated,integrates,integrating
474,introduce,introduced,introduced,introduces,introducing
475,invent,invented,invented,invents,inventing
476,invite,invited,invited,invites,inviting
477,join,joined,joined,joins,joining
478,jump,jumped,jumped,jumps,jumping
479,justify,justified,justified,justifies,justifying
480,keep,kept,kept,keeps,keeping
481,kick,kicked,kicked,kicks,kicking
482,kid,kidded,kidded,kids,kidding
483,kill,killed,killed,kills,killing
484,kiss,kissed,kissed,kisses,kissing
485,kneel,knelt,knelt,kneels,kneeling
486,knit,knit,knit,knits,knitting
487,knock,knocked,knocked,knocks,knocking
488,know,knew,known,knows,knowing
489,lade,laded,laden,lades,lading
490,land,landed,landed,lands,landing
491,last,lasted,lasted,lasts,lasting
492,latch,latched,latched,latches,latching
493,laugh,laughed,laughed,laughs,laughing
494,lay,laid,laid,lays,laying
495,lead,led,led,leads,leading
496,leak,leaked,leaked,leaks,leaking
497,lean,leant,leant,leans,leaning
498,leap,leapt,leapt,leaps,leaping
499,learn,learnt,learnt,learns,learning
500,leave,left,left,leaves,leaving
501,leer,leered,leered,leers,leering
502,lend,lent,lent,lends,lending
503,let,let,let,lets,letting
504,lick,licked,licked,licks,licking
505,lie,lay,lain,lies,lying
506,lie,lied,lied,lies,lying
507,lift,lifted,lifted,lifts,lifting
508,light,lit,lit,lights,lighting
509,like,liked,liked,likes,liking
510,limp,limped,limped,limps,limping
511,listen,listened,listened,listens,listening
512,live,lived,lived,lives,living
513,look,looked,looked,looks,looking
514,lose,lost,lost,loses,losing
515,love,loved,loved,loves,loving
516,magnify,magnified,magnified,magnifies,magnifying
517,maintain,maintained,maintained,maintains,maintaining
518,make,made,made,makes,making
519,manage,managed,managed,manages,managing
520,march,marched,marched,marches,marching
521,mark,marked,marked,marks,marking
522,marry,married,married,marries,marrying
523,mash,mashed,mashed,mashes,mashing
524,match,matched,matched,matches,matching
525,matter,mattered,mattered,matters,mattering
526,mean,meant,meant,means,meaning
527,measure,measured,measured,measures,measuring
528,meet,met,met,meets,meeting
529,melt,melted,melted,melts,melting
530,merge,merged,merged,merges,merging
531,mew,mewed,mewed,mews,mewing
532,migrate,migrated,migrated,migrates,migrating
533,milk,milked,milked,milks,milking
534,mind,minded,minded,minds,minding
535,mislead,misled,misled,misleads,misleading
536,miss,missed,missed,misses,missing
537,mistake,mistook,mistaken,mistakes,mistaking
538,misuse,misused,misused,misuses,misusing
539,mix,mixed,mixed,mixes,mixing
540,moan,moaned,moaned,moans,moaning
541,modify,modified,modified,modifies,modifying
542,moo,mooed,mooed,moos,mooing
543,motivate,motivated,motivated,motivates,motivating
544,mould,moulded,moulded,moulds,moulding
545,moult,moulted,moulted,moults,moulting
546,move,moved,moved,moves,moving
547,mow,mowed,mown,mows,mowing
548,multiply,multiplied,multiplied,multiplies,multiplying
549,murmur,murmured,murmured,murmurs,murmuring
550,nail,nailed,nailed,nails,nailing
551,nap,napped,napped,naps,napping
552,need,needed,needed,needs,needing
553,neglect,neglected,neglected,neglects,neglecting
554,nip,nipped,nipped,nips,nipping
555,nod,nodded,nodded,nods,nodding
556,note,noted,noted,notes,noting
557,notice,noticed,noticed,notices,noticing
558,notify,notified,notified,notifies,notifying
559,nourish,nourished,nourished,nourishes,nourishing
560,nurse,nursed,nursed,nurses,nursing
561,obey,obeyed,obeyed,obeys,obeying
562,oblige,obliged,obliged,obliges,obliging
563,observe,observed,observed,observes,observing
564,obstruct,obstructed,obstructed,obstructs,obstructing
565,obtain,obtained,obtained,obtains,obtaining
566,occupy,occupied,occupied,occupies,occupying
567,occur,occurred,occurred,occurs,occurring
568,offer,offered,offered,offers,offering
569,offset,offset,offset,offsets,offsetting
570,omit,omitted,omitted,omits,omitting
571,ooze,oozed,oozed,oozes,oozing
572,open,opened,opened,opens,opening
573,operate,operated,operated,operates,operating
574,opine,opined,opined,opines,opining
575,oppress,oppressed,oppressed,oppresses,oppressing
576,opt,opted,opted,opts,opting
577,optimize,optimized,optimized,optimizes,optimizing
578,order,ordered,ordered,orders,ordering
579,organize,organized,organized,organizes,organizing
580,originate,originated,originated,originates,originating
581,output,output,output,outputs,outputting
582,overflow,overflowed,overflowed,overflows,overflowing
583,overtake,overtook,overtaken,overtakes,overtaking
584,owe,owed,owed,owes,owing
585,own,owned,owned,owns,owning
586,pacify,pacified,pacified,pacifies,pacifying
587,paint,painted,painted,paints,painting
